company_id,name,industry,country,created_at
1,Company_00001,SaaS,NL,2019-06-29
2,Company_00002,BioTech,CH,2023-04-04
3,Company_00003,HealthTech,DE,2022-08-07
4,Company_00004,BioTech,NL,2021-05-31
5,Company_00005,Logistics,NL,2021-05-19
6,Company_00006,HealthTech,US,2023-09-21
7,Company_00007,AI,US,2019-06-22
8,Company_00008,SaaS,DE,2022-11-01
9,Company_00009,BioTech,CH,2020-02-09
10,Company_00010,Ecommerce,IN,2019-07-09
11,Company_00011,Ecommerce,IN,2021-11-23
12,Company_00012,FinTech,AE,2024-05-13
13,Company_00013,Ecommerce,AE,2023-01-17
14,Company_00014,Ecommerce,CA,2023-03-09
15,Company_00015,HealthTech,US,2022-12-11
16,Company_00016,Cloud,IN,2023-04-28
17,Company_00017,HealthTech,DE,2021-10-27
18,Company_00018,FinTech,CH,2019-09-15
19,Company_00019,Logistics,UK,2023-08-14
20,Company_00020,Ecommerce,US,2021-06-23
21,Company_00021,AI,AE,2021-10-01
22,Company_00022,BioTech,AE,2021-01-14
23,Company_00023,SaaS,IN,2020-01-02
24,Company_00024,Logistics,SG,2024-02-04
25,Company_00025,SaaS,CA,2023-04-19
26,Company_00026,SaaS,FR,2022-07-16
27,Company_00027,SaaS,CH,2021-03-19
28,Company_00028,FinTech,IN,2023-07-11
29,Company_00029,Ecommerce,DE,2021-12-31
30,Company_00030,Cloud,US,2021-06-09
31,Company_00031,Cloud,US,2021-06-23
32,Company_00032,FinTech,DE,2020-04-01
33,Company_00033,Cloud,SG,2019-07-05
34,Company_00034,EdTech,AE,2022-01-18
35,Company_00035,Logistics,AE,2023-11-18
36,Company_00036,BioTech,FR,2019-05-09
37,Company_00037,AI,DE,2023-09-20
38,Company_00038,HealthTech,CH,2023-07-20
39,Company_00039,Logistics,US,2020-07-09
40,Company_00040,BioTech,CA,2022-06-22
41,Company_00041,EdTech,NL,2019-11-28
42,Company_00042,FinTech,SG,2023-03-03
43,Company_00043,Cloud,FR,2022-11-07
44,Company_00044,HealthTech,SG,2020-12-12
45,Company_00045,Media,DE,2019-05-17
46,Company_00046,Ecommerce,DE,2024-05-03
47,Company_00047,SaaS,FR,2021-06-13
48,Company_00048,Cloud,US,2023-11-29
49,Company_00049,Logistics,DE,2022-09-23
50,Company_00050,HealthTech,SG,2023-04-12
51,Company_00051,SaaS,CH,2023-03-06
52,Company_00052,FinTech,FR,2020-01-26
53,Company_00053,FinTech,FR,2020-12-31
54,Company_00054,Cloud,FR,2021-07-26
55,Company_00055,FinTech,UK,2021-09-26
56,Company_00056,FinTech,UK,2019-03-29
57,Company_00057,Media,NL,2022-01-02
58,Company_00058,Media,CA,2019-11-06
59,Company_00059,HealthTech,CA,2023-02-01
60,Company_00060,EdTech,DE,2022-10-03
61,Company_00061,Logistics,SG,2024-01-27
62,Company_00062,Logistics,UK,2023-02-04
63,Company_00063,Ecommerce,NL,2021-01-06
64,Company_00064,BioTech,IN,2024-04-26
65,Company_00065,Media,FR,2021-04-04
66,Company_00066,BioTech,CH,2020-10-16
67,Company_00067,Cloud,AE,2023-12-24
68,Company_00068,FinTech,DE,2021-01-13
69,Company_00069,EdTech,CA,2019-06-03
70,Company_00070,Cloud,CH,2021-07-31
71,Company_00071,Logistics,CA,2023-05-17
72,Company_00072,Cloud,AE,2020-01-16
73,Company_00073,Ecommerce,FR,2021-07-18
74,Company_00074,Media,AE,2019-09-18
75,Company_00075,Cloud,SG,2022-10-10
76,Company_00076,EdTech,FR,2021-08-13
77,Company_00077,BioTech,NL,2020-10-25
78,Company_00078,Logistics,UK,2020-03-31
79,Company_00079,Ecommerce,UK,2022-02-07
80,Company_00080,Logistics,FR,2022-09-06
81,Company_00081,Cloud,US,2024-03-03
82,Company_00082,SaaS,SG,2021-05-27
83,Company_00083,HealthTech,FR,2019-11-19
84,Company_00084,AI,UK,2023-07-31
85,Company_00085,Ecommerce,CA,2022-06-18
86,Company_00086,EdTech,NL,2022-11-07
87,Company_00087,Ecommerce,NL,2019-07-15
88,Company_00088,EdTech,UK,2020-09-19
89,Company_00089,FinTech,CH,2023-03-22
90,Company_00090,Ecommerce,FR,2023-07-30
91,Company_00091,EdTech,SG,2021-05-23
92,Company_00092,AI,CA,2023-06-04
93,Company_00093,BioTech,CH,2023-08-18
94,Company_00094,EdTech,SG,2021-02-17
95,Company_00095,Ecommerce,SG,2023-12-09
96,Company_00096,AI,UK,2020-08-01
97,Company_00097,Cloud,CH,2020-04-26
98,Company_00098,Cloud,UK,2022-10-02
99,Company_00099,SaaS,NL,2022-07-02
100,Company_00100,BioTech,CA,2019-10-08
101,Company_00101,AI,UK,2023-07-31
102,Company_00102,SaaS,DE,2020-02-06
103,Company_00103,EdTech,SG,2023-06-05
104,Company_00104,SaaS,CA,2019-01-15
105,Company_00105,Ecommerce,DE,2023-05-20
106,Company_00106,EdTech,SG,2023-04-30
107,Company_00107,Media,CH,2023-04-16
108,Company_00108,AI,US,2022-08-28
109,Company_00109,Media,DE,2021-08-04
110,Company_00110,Media,SG,2022-11-16
111,Company_00111,AI,FR,2020-07-10
112,Company_00112,FinTech,US,2023-04-17
113,Company_00113,EdTech,CA,2022-01-20
114,Company_00114,SaaS,SG,2021-07-10
115,Company_00115,Media,IN,2021-10-12
116,Company_00116,Ecommerce,NL,2022-02-16
117,Company_00117,BioTech,UK,2019-03-16
118,Company_00118,BioTech,CA,2019-10-08
119,Company_00119,AI,CA,2020-05-07
120,Company_00120,Cloud,NL,2019-08-18
121,Company_00121,BioTech,IN,2021-06-01
122,Company_00122,Media,SG,2022-09-04
123,Company_00123,SaaS,UK,2022-08-07
124,Company_00124,AI,US,2021-08-03
125,Company_00125,Cloud,CH,2023-09-14
126,Company_00126,Media,US,2022-02-08
127,Company_00127,AI,SG,2019-06-09
128,Company_00128,SaaS,US,2023-03-17
129,Company_00129,HealthTech,CA,2022-02-27
130,Company_00130,Logistics,AE,2022-06-28
131,Company_00131,EdTech,CA,2022-02-09
132,Company_00132,Cloud,CA,2022-01-16
133,Company_00133,SaaS,AE,2019-07-01
134,Company_00134,Ecommerce,AE,2022-01-27
135,Company_00135,HealthTech,IN,2023-05-16
136,Company_00136,Cloud,CA,2020-09-02
137,Company_00137,FinTech,CH,2022-04-25
138,Company_00138,HealthTech,AE,2019-03-03
139,Company_00139,HealthTech,FR,2020-11-28
140,Company_00140,FinTech,US,2021-05-26
141,Company_00141,EdTech,CH,2024-05-27
142,Company_00142,Logistics,DE,2020-03-06
143,Company_00143,Logistics,AE,2020-07-09
144,Company_00144,Cloud,NL,2021-03-31
145,Company_00145,AI,CH,2024-06-16
146,Company_00146,Ecommerce,FR,2023-09-10
147,Company_00147,Ecommerce,AE,2019-03-11
148,Company_00148,Media,FR,2020-04-14
149,Company_00149,Logistics,CA,2023-07-08
150,Company_00150,FinTech,UK,2019-04-28
151,Company_00151,EdTech,NL,2023-09-15
152,Company_00152,BioTech,NL,2020-07-19
153,Company_00153,HealthTech,DE,2024-01-17
154,Company_00154,Logistics,DE,2020-08-12
155,Company_00155,Logistics,IN,2021-05-22
156,Company_00156,FinTech,CA,2022-08-22
157,Company_00157,SaaS,CA,2019-09-11
158,Company_00158,BioTech,US,2022-01-23
159,Company_00159,EdTech,CH,2021-10-11
160,Company_00160,BioTech,US,2023-04-24
161,Company_00161,Ecommerce,FR,2024-06-23
162,Company_00162,Logistics,CH,2022-08-26
163,Company_00163,Cloud,SG,2021-04-01
164,Company_00164,HealthTech,CA,2021-03-27
165,Company_00165,EdTech,UK,2021-04-19
